year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,7,27,669,645,24,1083,1059,45,F9,4502,N772AA,LGA,MKE,254,2294,6,45,2013-07-27 06:00:00
2013,7,11,693,715,-22,1334,1356,-9,YV,8275,N414EF,LGA,MCO,401,3254,7,15,2013-07-11 07:00:00
2013,3,3,1466,1415,51,2071,2020,58,F9,6396,N348AE,JFK,PHX,365,3196,14,15,2013-03-03 14:00:00
2013,4,17,2163,2115,48,2364,2316,45,MQ,1539,N135GE,LGA,FLL,121,1120,21,15,2013-04-17 21:00:00
2013,9,26,1436,1415,21,2073,2052,30,F9,4983,N386EB,EWR,TPA,397,3057,14,15,2013-09-26 14:00:00
2013,5,27,929,915,14,1084,1070,36,AA,8508,N637HA,EWR,SFO,115,863,9,15,2013-05-27 09:00:00
2013,12,7,1759,1715,44,2396,2352,73,YV,4067,N108FA,LGA,SJU,397,3369,17,15,2013-12-07 17:00:00
2013,5,18,1938,1915,23,2073,2050,41,F9,8867,N462FD,JFK,MCO,95,857,19,15,2013-05-18 19:00:00
2013,11,27,768,800,-32,1388,1420,-28,UA,4535,N682CC,EWR,MSP,380,3275,8,0,2013-11-27 08:00:00
2013,5,11,825,815,10,1472,1462,24,F9,6701,N573AF,JFK,SEA,407,3643,8,15,2013-05-11 08:00:00
2013,4,24,1194,1145,49,1624,1575,50,YV,4815,N525HE,EWR,DEN,270,2351,11,45,2013-04-24 11:00:00
2013,7,5,865,915,-50,1118,1168,-54,EV,5827,N137AB,JFK,BQN,173,1314,9,15,2013-07-05 09:00:00
2013,11,27,1598,1600,-2,2253,2255,-6,F9,209,N566DC,EWR,IAD,415,3635,16,0,2013-11-27 16:00:00
2013,3,26,1001,1030,-29,1318,1347,-11,UA,8437,N185ED,JFK,BOS,197,1662,10,30,2013-03-26 10:00:00
2013,10,11,2054,2045,9,2378,2369,9,UA,6695,N857FD,EWR,MSP,204,1583,20,45,2013-10-11 20:00:00
2013,7,6,1352,1300,52,1688,1636,64,HA,7550,N869BA,EWR,TPA,216,2051,13,0,2013-07-06 13:00:00
2013,7,16,654,730,-76,1290,1366,-87,YV,6063,N853EB,JFK,DEN,396,3688,7,30,2013-07-16 07:00:00
2013,5,10,557,530,27,606,579,25,FL,5374,N970GD,LGA,MKE,49,436,5,30,2013-05-10 05:00:00
2013,3,24,912,945,-33,1058,1091,-31,HA,4336,N297DF,JFK,SJU,106,852,9,45,2013-03-24 09:00:00
2013,4,24,1444,1445,-1,1674,1675,24,HA,3293,N779BE,LGA,DFW,150,1202,14,45,2013-04-24 14:00:00
2013,4,28,1594,1645,-51,2138,2189,-32,MQ,5200,N145EC,EWR,DTW,344,2934,16,45,2013-04-28 16:00:00
2013,11,5,809,830,-21,1029,1050,-1,US,168,N969HF,LGA,OAK,140,1094,8,30,2013-11-05 08:00:00
2013,10,21,1218,1215,3,1418,1415,23,DL,3051,N565DC,LGA,TPA,120,911,12,15,2013-10-21 12:00:00
2013,4,18,669,730,-61,1100,1161,-57,AA,4141,N864HA,JFK,DTW,271,2363,7,30,2013-04-18 07:00:00
2013,5,19,1215,1100,115,1747,1632,100,FL,9571,N777AB,EWR,FLL,332,2514,11,0,2013-05-19 11:00:00
2013,8,4,1220,1215,5,1543,1538,13,MQ,252,N980BC,JFK,BWI,203,1689,12,15,2013-08-04 12:00:00
2013,12,4,912,915,-3,1439,1442,20,YV,245,N394DE,EWR,PHX,327,2967,9,15,2013-12-04 09:00:00
2013,6,1,745,730,15,1065,1050,25,AS,9415,N795HC,JFK,DEN,200,1738,7,30,2013-06-01 07:00:00
2013,3,6,620,545,75,755,680,97,AA,8699,N928BB,JFK,LAX,95,761,5,45,2013-03-06 05:00:00
2013,5,21,1376,1400,-24,1904,1928,-14,9E,1221,N586HB,LGA,STL,328,3082,14,0,2013-05-21 14:00:00
2013,9,8,1322,1345,-23,1871,1894,-18,YV,1609,N654GA,JFK,PHL,349,3128,13,45,2013-09-08 13:00:00
2013,6,12,1149,1145,4,1390,1386,-6,WN,7494,N163HD,EWR,MSP,161,1219,11,45,2013-06-12 11:00:00
2013,8,13,1993,1945,48,2616,2568,41,HA,6209,N309EB,JFK,PHX,383,3484,19,45,2013-08-13 19:00:00
2013,3,20,1311,1345,-34,1857,1891,-14,UA,7494,N870DB,JFK,MSY,346,3093,13,45,2013-03-20 13:00:00
2013,8,3,654,600,54,1272,1218,68,B6,5765,N458HD,JFK,PHL,378,3412,6,0,2013-08-03 06:00:00
2013,9,10,1557,1515,42,1616,1574,48,9E,3799,N975AC,EWR,FLL,59,447,15,15,2013-09-10 15:00:00
2013,10,12,2190,2145,45,2599,2554,40,VX,6626,N382DD,EWR,HNL,249,2011,21,45,2013-10-12 21:00:00
2013,10,9,1089,1100,-11,1523,1534,3,US,9774,N435BB,LGA,PHL,274,2249,11,0,2013-10-09 11:00:00
2013,6,19,543,500,43,696,653,71,MQ,1662,N392EC,EWR,IAD,113,898,5,0,2013-06-19 05:00:00
2013,12,15,1453,1430,23,1710,1687,14,UA,7940,N193CC,EWR,DEN,177,1464,14,30,2013-12-15 14:00:00
2013,2,4,1570,1530,40,1674,1634,51,B6,829,N915EF,JFK,SEA,64,516,15,30,2013-02-04 15:00:00
2013,7,10,1551,1515,36,1877,1841,21,DL,3450,N493EB,EWR,FLL,206,1759,15,15,2013-07-10 15:00:00
2013,11,15,911,845,66,1416,1350,86,DL,2540,N674HB,EWR,DEN,305,2593,8,45,2013-11-15 08:00:00
2013,9,7,1984,2015,-31,2109,2140,-10,UA,6226,N494CB,EWR,DTW,85,795,20,15,2013-09-07 20:00:00
2013,9,27,2024,2000,24,2224,2200,45,UA,8710,N569FE,JFK,STL,120,1052,20,0,2013-09-27 20:00:00
2013,12,19,1782,1745,37,1928,1891,46,B6,2201,N653DC,EWR,ORD,106,890,17,45,2013-12-19 17:00:00
2013,11,26,792,800,-8,1101,1109,-23,B6,6794,N645FD,LGA,RDU,189,1454,8,0,2013-11-26 08:00:00
2013,2,28,1800,1715,85,2446,2361,75,VX,8774,N637BA,JFK,LAX,406,3074,17,15,2013-02-28 17:00:00
2013,12,11,1572,1630,-58,1786,1844,-39,F9,5710,N361HA,JFK,BQN,134,1219,16,30,2013-12-11 16:00:00
2013,1,11,1231,1245,-14,1486,1500,-24,FL,9207,N671BB,EWR,TPA,175,1617,12,45,2013-01-11 12:00:00
2013,5,4,1574,1615,-41,1988,2029,-41,WN,6397,N398CB,JFK,MCO,254,2387,16,15,2013-05-04 16:00:00
2013,12,28,813,800,13,955,942,29,AA,2564,N835FC,JFK,MSP,102,799,8,0,2013-12-28 08:00:00
2013,10,2,1430,1445,-15,1749,1764,-19,AA,7466,N313DB,EWR,MSP,199,1824,14,45,2013-10-02 14:00:00
2013,5,18,1874,1815,59,2424,2365,76,FL,5021,N884EF,JFK,OAK,350,2737,18,15,2013-05-18 18:00:00
2013,9,24,1750,1730,20,2096,2076,22,OO,6291,N814FD,JFK,DTW,226,1759,17,30,2013-09-24 17:00:00
2013,7,16,828,730,98,1084,986,95,US,5688,N864BD,EWR,BWI,176,1577,7,30,2013-07-16 07:00:00
2013,5,8,1495,1500,-5,2042,2047,-5,MQ,1393,N941GC,JFK,DFW,347,3215,15,0,2013-05-08 15:00:00
2013,8,1,1313,1330,-17,1449,1466,-18,UA,4208,N369GE,LGA,MDW,96,826,13,30,2013-08-01 13:00:00
2013,4,9,949,845,104,1259,1155,89,US,1256,N315BD,LGA,MSP,190,1506,8,45,2013-04-09 08:00:00
2013,11,5,1433,1445,-12,2060,2072,-21,F9,2112,N717AE,LGA,PHL,387,3330,14,45,2013-11-05 14:00:00
