timestamp,chan_00,chan_01,chan_02,chan_03,chan_04,chan_05,chan_06,chan_07,chan_08,chan_09,chan_10,chan_11,chan_12,chan_13,chan_14,chan_15,chan_16,chan_17,chan_18,chan_19,chan_20,chan_21,chan_22,chan_23,chan_24,anomaly
60,0.04506,0.24764,0.43474,0.60434,0.60807,0.48466,0.421,0.15324,-0.13103,-0.40526,-0.64517,-0.75399,-0.81131,-0.73286,-0.53992,-0.21938,0.22765,0.65366,0.88911,1.05279,1.09219,0.82639,0.56083,0.16704,-0.29342,0
120,0.09192,0.38298,0.52942,0.51022,0.54741,0.51402,0.28354,0.14163,-0.20404,-0.56591,-0.73113,-0.89874,-0.88974,-0.75144,-0.4562,-0.03551,0.3243,0.66572,0.95869,1.07143,1.05417,0.81017,0.53802,-0.01351,-0.4217,0
180,0.142,0.46393,0.46166,0.53411,0.62223,0.54962,0.30717,0.06127,-0.19805,-0.54214,-0.80855,-0.8566,-0.74387,-0.69112,-0.33017,0.04208,0.39362,0.78216,1.00957,1.18413,1.01657,0.70663,0.32646,-0.1478,-0.52588,0
240,0.17503,0.38846,0.58986,0.58402,0.62486,0.47036,0.18542,-0.02162,-0.16984,-0.61393,-0.76709,-0.80225,-0.745,-0.61039,-0.30396,0.11252,0.50874,0.69045,1.12421,0.92461,0.9049,0.64841,0.23133,-0.24337,-0.75729,0
300,0.24245,0.49399,0.5838,0.61757,0.40886,0.41216,0.17486,-0.15601,-0.43815,-0.64046,-0.69954,-0.86431,-0.72569,-0.40435,-0.1685,0.20799,0.59047,0.80918,1.04217,0.97086,0.90673,0.54308,0.23134,-0.33629,-0.71656,0
360,0.22873,0.54975,0.59084,0.59054,0.48381,0.30031,0.07853,-0.19513,-0.55418,-0.64225,-0.75618,-0.82626,-0.66094,-0.35453,-0.08813,0.3362,0.72497,0.91566,1.00641,0.93418,0.93748,0.40477,-0.04752,-0.49253,-0.88098,0
420,0.29955,0.53669,0.564,0.5867,0.51214,0.2887,0.02014,-0.16324,-0.51423,-0.73006,-0.79423,-0.68351,-0.58037,-0.27933,0.10563,0.38745,0.64983,0.9734,1.04824,0.91915,0.74522,0.35539,-0.17509,-0.55321,-0.9717,0
480,0.29742,0.54223,0.58817,0.47391,0.48543,0.19474,-0.03281,-0.38764,-0.56129,-0.74791,-0.75642,-0.67013,-0.54241,-0.17554,0.09328,0.68098,0.85921,1.0543,0.90949,0.97975,0.5659,0.23904,-0.19533,-0.67318,-0.98575,0
540,0.29926,0.61637,0.54342,0.58333,0.29927,0.1432,0.02256,-0.4449,-0.69781,-0.78624,-0.75529,-0.63595,-0.37816,-0.13767,0.15577,0.56018,0.91658,1.02701,0.89917,0.8245,0.58011,0.19922,-0.33428,-0.76714,-1.15891,0
600,0.39085,0.60263,0.61065,0.4617,0.36135,0.02313,-0.24013,-0.51304,-0.69189,-0.73737,-0.76906,-0.62361,-0.39928,-0.09121,0.37299,0.64376,0.94149,1.0102,0.94123,0.57692,0.45215,-0.00583,-0.47604,-0.86302,-1.10851,0
660,0.5321,0.45993,0.49983,0.44039,0.27469,-0.07413,-0.38403,-0.60972,-0.696,-0.77456,-0.7067,-0.59277,-0.34092,-0.04003,0.43207,0.74384,0.98528,1.0447,0.90418,0.73431,0.28962,-0.17632,-0.60958,-0.98113,-1.29225,0
720,0.48334,0.57195,0.52396,0.37255,0.17845,-0.06519,-0.40552,-0.56891,-0.63395,-0.81207,-0.70127,-0.46693,-0.19197,0.23392,0.4266,0.6945,0.93418,0.96474,0.84276,0.60561,0.2149,-0.18786,-0.73802,-0.95272,-1.29042,0
780,0.48914,0.54369,0.48468,0.22149,0.05323,-0.10307,-0.32991,-0.50975,-0.64142,-0.84904,-0.59889,-0.50954,-0.02383,0.25706,0.52012,0.93753,1.008,0.8681,0.80515,0.44174,0.07528,-0.39645,-0.71056,-1.15073,-1.20342,0
840,0.58797,0.47679,0.51377,0.27164,0.05761,-0.19163,-0.40888,-0.55453,-0.83747,-0.73537,-0.51292,-0.45008,0.06834,0.21722,0.62221,0.97874,1.06787,0.98105,0.83095,0.37331,-0.02158,-0.55666,-0.83252,-1.15257,-1.1541,0
900,0.45078,0.53145,0.38783,0.2923,0.09586,-0.26928,-0.57883,-0.68805,-0.74251,-0.76493,-0.53544,-0.24074,0.05228,0.37856,0.67558,1.0015,0.96534,0.83659,0.61404,0.31657,-0.19428,-0.5627,-0.90447,-1.12261,-1.13133,0
960,0.46974,0.43227,0.31794,0.15378,-0.08321,-0.34298,-0.49511,2.46848,-0.7653,-0.70382,-0.44498,-0.15833,0.21953,0.5694,0.71845,0.94509,0.97448,0.75066,0.53608,0.11201,-0.19349,-0.68399,-1.08137,-1.17615,-1.13961,1
1020,0.49546,0.37983,0.34753,0.05184,-0.15628,-0.43572,-0.60879,-0.68715,-0.75396,-0.7022,-0.31904,-0.16531,0.25796,0.53676,0.8444,0.87468,0.86604,0.76925,0.46934,0.03504,-0.34542,-0.73321,-1.12413,-1.20229,-1.16527,0
1080,0.55203,0.44239,0.15011,-0.0642,-0.16033,-0.46766,-0.60901,-0.67448,-0.73103,-0.55035,-0.40592,-0.01334,0.42173,0.60274,0.86164,0.87606,0.91955,0.6853,0.39167,-0.04831,-0.50128,-0.82782,-1.06458,-1.16535,-1.04838,0
1140,0.42952,0.41094,0.28047,0.00771,-0.33446,-0.43267,-0.63553,-0.71118,-0.60939,-0.53684,-0.34979,0.10546,0.40225,0.74815,0.9619,0.88145,0.76361,0.57982,0.27518,-0.27723,-0.62867,-0.9259,-1.18492,-1.16318,-1.0546,0
1200,0.35494,0.38001,0.04244,-0.02846,-0.33301,-0.47396,-0.70086,-0.70916,-0.63605,-0.5181,-0.1066,0.19015,0.52882,0.72853,0.957,0.86892,0.87354,0.48922,0.25617,-0.36862,-0.63786,-1.07272,-1.13865,-1.02062,-0.89444,0
1260,0.51858,0.32609,0.09167,-0.14712,-0.37729,-0.47066,-0.70234,-0.70651,-0.59657,-0.35427,-0.01424,0.23985,0.56255,0.84744,0.8173,0.81448,0.70317,0.33204,0.04894,-0.35427,-0.87037,-1.0969,-1.25707,-1.14449,-0.93128,0
1320,0.45564,0.1458,-0.03039,-0.20561,-0.35093,-0.62068,-0.60801,-0.62581,-0.6039,-0.2984,0.01069,0.26689,0.61413,0.90153,0.94917,0.90751,0.65104,0.26541,-0.07885,-0.5615,-0.76687,-1.11015,-1.146,-1.01239,-0.69614,0
1380,0.25078,0.09854,-0.02885,-0.32085,-0.44198,-0.67978,-0.69333,-0.59066,-0.42514,-0.22496,0.02067,0.44162,0.61977,0.83177,0.87887,0.85761,0.54015,0.2682,-0.21371,-0.55919,-0.92833,-1.04413,-1.08733,-1.01692,-0.67817,0
1440,0.2905,0.067,-0.06037,-0.31576,-0.45527,-0.6501,-0.71929,-0.54414,-0.39476,-0.161,0.20355,0.46435,0.69618,0.83788,0.87412,0.81411,0.47836,0.07956,-0.25178,-0.69246,-0.94059,-1.13399,-1.14478,-0.90194,-0.65668,0
1500,0.27941,0.14178,-0.16388,-0.30353,-0.54144,-0.71436,-0.55466,-0.55201,-0.34551,-0.00483,0.23757,0.63073,0.79023,0.90032,0.89887,0.69993,0.45466,-0.01767,-0.39808,-0.78576,-0.98174,-1.12657,-1.10327,-0.80365,-0.37922,0
1560,0.19516,0.02386,-0.19622,-0.48091,-0.57012,-0.66112,-0.64998,-0.44364,-0.37415,0.06291,0.35967,0.56933,0.79473,0.83077,0.78135,0.62137,0.24326,-0.0635,-0.51956,-0.88173,-1.08724,-1.13689,-1.0099,-0.692,-0.3,0
1620,0.12688,-0.07325,-0.22918,-0.43884,-0.62263,-0.65507,-0.65596,-0.39136,-0.19985,0.11311,0.40455,0.71194,0.85024,0.86181,0.77691,0.57331,0.20925,-0.2678,-0.57847,-0.93322,-1.05769,-1.0762,-0.91274,-0.5791,-0.15797,0
1680,0.11762,-0.17749,-0.36425,-0.44612,-0.63551,-0.67612,-0.54521,-0.40435,-0.08842,0.13776,0.47015,0.63389,0.793,0.84919,0.64871,0.48487,0.09648,-0.35103,-0.76406,-0.96589,-1.10312,-1.058,-0.95171,-0.57594,-0.08085,0
1740,-0.00138,-0.16066,-0.38868,-0.35704,-0.70263,-0.58011,-0.45393,-0.31735,-0.07116,0.29066,0.57091,0.77693,0.81017,0.85638,0.62576,0.3162,-0.01095,-0.41818,-0.72231,-0.98186,-1.03485,-0.96447,-0.71145,-0.4551,0.18682,0
1800,0.00073,-0.14942,-0.38153,-0.59205,-0.66065,-0.60625,-0.45352,-0.24068,0.06954,0.31633,0.70565,0.77778,0.85786,0.72494,0.51543,0.25466,-0.15598,-0.44805,-0.82102,-1.02049,-0.99355,-0.874,-0.59923,-0.28257,0.18953,0
1860,-0.07259,-0.1808,-0.48979,-0.54018,-0.66885,-0.54994,-0.3844,-0.14096,0.05299,0.36264,0.66923,0.82655,0.85808,0.64122,0.45589,0.24301,-0.21572,-0.58454,-0.90131,-1.15234,-1.12997,-0.93442,-0.54041,-0.18326,0.29235,0
1920,-0.09954,-0.38668,-0.39304,-0.48637,3.03674,-0.51844,-0.29601,-0.06178,0.15541,0.45335,0.75241,0.86753,0.79698,0.77082,0.41328,0.05341,-0.33754,-0.64537,-0.94461,-1.02508,-1.04094,-0.74461,-0.41113,0.07073,0.5222,1
1980,-0.13514,-0.35084,-0.4949,-0.62752,-0.61979,-0.51373,-0.24282,0.0021,0.24111,0.48253,0.80471,0.81005,0.83549,0.58135,0.26482,-0.04709,-0.40215,-0.67038,-0.98889,-1.03313,-0.86887,-0.66265,-0.34947,0.02838,0.59784,0
2040,-0.18556,-0.34355,-0.51767,-0.54511,-0.54252,-0.46385,-0.19987,-0.00959,0.37965,0.60533,0.79386,0.78737,0.72085,0.52477,0.18677,-0.16001,-0.51837,-0.84898,-1.05366,-1.10891,-1.02187,-0.68374,-0.22824,0.21078,0.67726,0
2100,-0.20797,-0.42609,-0.46859,-0.60122,-0.56851,-0.36525,-0.0491,0.12813,0.44518,0.67078,0.7593,0.844,0.701,0.46244,0.17039,-0.27018,-0.48563,-0.86615,-1.00732,-1.16402,-0.79249,-0.58695,-0.06346,0.25664,0.79067,0
2160,-0.32958,-0.44763,-0.52247,-0.57087,-0.40681,-0.31089,-0.15198,0.21556,0.48629,0.67166,0.78699,0.79205,0.63621,0.37348,0.07038,-0.28391,-0.68843,-0.94874,-1.02271,-0.97265,-0.88595,-0.47563,0.04817,0.46306,0.90786,0
